Datetime,Acreage,TotalFloor,TotalBedroom,TotalBathroom,HouseUtilities,HouseMinusPoint,RoomMultipurpose,OuterUtilities,HouseType,City,District,Price,million/m2,Longitude,Latitude
2023,102.0,1,2.0,3.0,6,0,0,2,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,12.0,117.6470588235294,106.72971280655217,10.737754800000001
2023,60.0,2,2.0,2.0,1,0,0,7,Bán Nhà riêng,Đà Nẵng,Thanh Khê,2.5,41.66666666666666,108.20920548707869,16.071795950000002
2023,62.0,3,4.0,5.0,5,0,2,4,Bán Nhà riêng,TP Hồ Chí Minh,Tân Phú,6.7,108.06451612903226,106.7261695,10.727068
2023,78.0,1,7.0,5.0,9,0,3,3,Bán Nhà riêng,Hà Nội,Long Biên,8.9,114.1025641025641,105.8921527,21.0257066
2023,75.0,2,2.0,2.0,4,0,0,3,Bán Nhà mặt phố,TP Hồ Chí Minh,Bình Thạnh,14.5,193.33333333333331,106.5878711,10.8041602
2023,68.0,3,4.0,3.0,1,0,0,3,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 7,13.95,205.14705882352945,106.72971280655217,10.737754800000001
2023,50.0,10,6.0,4.0,2,0,0,2,Bán Nhà riêng,TP Hồ Chí Minh,Quận 10,9.0,180.0,106.66821544343898,10.7726536
2023,42.0,1,2.0,2.0,4,0,0,2,Bán Nhà riêng,Hà Nội,Đông Anh,1.9,45.23809523809524,105.8884768,21.0866512
2023,90.0,1,2.0,2.0,3,0,0,12,Bán Nhà riêng,TP Hồ Chí Minh,Quận 12,4.7,52.22222222222222,106.66420925636413,10.861410750000001
2023,65.0,3,3.0,3.0,0,0,1,6,Bán Nhà riêng,TP Hồ Chí Minh,Phú Nhuận,1.5,23.07692307692308,106.6798916250364,10.8010732
2023,73.0,1,2.0,3.0,4,0,0,2,Bán Nhà riêng,Đồng Nai,Biên Hòa,2.8,38.35616438356164,106.8226134,10.9509538
2023,93.0,1,2.0,2.0,0,0,0,2,Bán Nhà riêng,Đồng Nai,Biên Hòa,6.5,69.89247311827957,106.8226134,10.9509538
2023,82.15464621371515,4,5.0,3.0,1,0,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 11,9.0,109.54949494381135,106.6475594370616,10.7659529
2023,63.3,1,2.0,1.0,0,0,0,0,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 6,14.0,221.16903633491316,106.63910717557408,10.745868250000001
2023,63.3,1,2.0,1.0,0,0,0,0,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 6,14.0,221.16903633491316,106.63910717557408,10.745868250000001
2023,47.0,1,2.0,1.0,0,0,1,3,Bán Nhà riêng,Hà Nội,Thanh Xuân,5.2,110.63829787234044,105.8143014,20.9936873
2023,58.0,1,1.0,1.0,2,0,0,2,Bán Nhà riêng,Hà Nội,Hoàng Mai,6.5,112.06896551724138,105.85744654567378,20.9755354
2023,71.0,5,6.0,4.0,1,0,0,1,Bán Nhà mặt phố,TP Hồ Chí Minh,Quận 5,34.0,478.8732394366197,106.61881365691625,10.83488435
2023,70.0,4,4.0,4.0,1,0,0,2,Bán Nhà riêng,Hà Nội,Thanh Xuân,12.5,178.57142857142858,105.8143014,20.9936873
2023,90.0,4,5.0,5.0,2,0,2,5,Bán Nhà riêng,TP Hồ Chí Minh,Thủ Đức,5.0,55.55555555555556,106.7617899,10.8298295
2023,43.0,5,4.0,4.0,1,0,0,5,Bán Nhà riêng,Hà Nội,Thanh Xuân,4.5,104.65116279069768,105.8143014,20.9936873
2023,100.0,2,3.0,3.0,1,0,0,1,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,8.9,89.0,106.6403038,10.8440568
2023,48.0,3,3.0,3.0,2,0,2,0,Bán Nhà riêng,TP Hồ Chí Minh,Gò Vấp,5.5,114.58333333333331,106.6403038,10.8440568
2023,47.0,5,4.0,4.0,0,0,0,5,Bán Nhà riêng,Hà Nội,Thanh Xuân,4.5,95.74468085106383,105.8143014,20.9936873
2023,80.0,3,3.0,3.0,3,0,0,3,Bán Nhà mặt phố,Thừa Thiên Huế,Huế,4.1,51.25,107.5863388,16.4639321
2023,210.0,1,2.0,2.0,3,0,0,6,Bán Nhà mặt phố,TP Hồ Chí Minh,Hóc Môn,10.5,50.0,106.57635314823773,10.878345
2023,233.0,3,20.0,5.0,0,0,0,1,Bán Nhà,TP Hồ Chí Minh,Thủ Đức,11.5,49.35622317596567,106.7617899,10.8298295
2023,273.0,4,20.0,5.0,0,0,0,0,Bán Nhà mặt phố,Thừa Thiên Huế,Huế,1.68,6.153846153846154,107.5863388,16.4639321
2023,52.0,6,4.0,3.0,3,1,0,4,Bán Nhà riêng,TP Hồ Chí Minh,Nhà Bè,6.79,130.57692307692307,106.72638246812322,10.650967049999998
2023,33.0,4,3.0,3.0,3,0,2,4,Bán Nhà riêng,TP Hồ Chí Minh,Quận 1,7.9,239.3939393939394,106.69957286491969,10.77526035
